countryiso3code,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
KEN,1969,,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1968,,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1967,,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1966,,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1965,,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1964,,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1963,,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1962,,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1961,,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1960,,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
